Review,Rating
"stay group colleagues reservations stay hotel, days visit member party contracted highly infectious staph infection cancel, lieu cancelling rescheduled, told charge rooms cancelling 72 hour period applied stay, time came turned charged night stay rooms none money apply future room, finally calls spoke manager rude diffiult work best night credit slow night weekend night unless paid weekend night, n't money stayed hotels occassion cancel minute forfeit 300.they think hotel french quarter,  ",1
"nice place, lunatic 20000+ miles flying space days night kill seattle early trans-con flight nyc, night original plan needed hotel none prebooked.this place recommended block excellent irish pub kells happened ended in.just room left 220 tax.excellent friendly staff lovely decor big rooms im used nyc rabbit hutch big spacious views water free wi-fi need ask reception access code, place spotless nicely decorated individual usual bland chain hotels sadly prevail.the area felt fine-in limited time safe near bars shops usual stuff, drunken noise street either.it quiet comfortable slept well.normally add pictures reviews length stay lack ca n't time- sorry return seattle list hotels use, try,  ",5
"great hotel couples sydney australia stayed casablanca hotel 8 days middle september, hotel oustanding respect, need view hotel total package, located right heart times square rooms bathrooms spotless furnished decor rooms hallways impressive piece resistance rick cafe second floor access 24 hour coffee snacks free wine cheese evening, free internet access cafe, great place relax meet guests, boutique hotel offer amenities larger chain hotel far concerned smaller friendly staff place relax socialise outside room, arrived room noisy asked moved, problem quickly located room hotel, received excellent service staff special mention zishan hassan exceptional providing information courtesy friendly approach, hotel certainly budget category considered worth money especially given substantial complimentary breakfast day snacks free wine 6pm 8pm, definitely return,  ",5
"best place stay san francisco great place stay san francisco, location convenient, right near bus cable car lines blocks fisherman wharf, hotel clean comfortable, traveling young female bit intimidating felt safe hotel, n't car trip love fact free parking huge plus large city hotels usually overcharge parking, return san francisco definitely staying hotel,  ",5
"okay amazing lost bags, stayed friend wedding, high expectations going hotel impressed checked, rooms small cramped, bathrooms small, stayed sheraton seattle previous nights paid price far impressed accommodations sheraton better accommodations bigger rooms bigger bathrooms cleaner upscale.during checkout checked bags hotel lunch, came bags nobody able, ended ask bellboy basement bags ended finding locked random room basement, staff pretty worthless bags lost,  ",2
"excellent choice great choice stay close airport right street, room lovely price right booked hotels, room quiet offered, aware parking 15.00 overnight,  ",5
"clean rooms great location excellent value, stayed 2 nights week extremely happy room, paid 50 night got clean comfortable room quiet powerful air conditioner little kitchenette, yes room extremely small 50 night gets, plus going spend lot time room honolulu, based negative reviews wondering rooms certain floors renovated room pleasant single insect seen, 16th floor, making reservation maybe consider asking rooms newer budget hotels newer/nicer rooms older/worse rooms, desk staff helpful pleasant exception, got extra coffee room free charge happily stored luggage secure spot day desk guys n't let help carry lot stuff, true line ups desk experience common really nice hotels, location excellent minutes beach bus diamond head hanauma bay chinatown restaurants shops, biggest complaint place elevator, took forever come waited 10 minutes arrive 5 minute wait norm, staircase apparently emergency exit staircase available use, desk staff said elevators broken getting fixed maybe solve problem noticed slow elevators running, elevator problem really pleased place, clean quiet comfortable place waikiki 50 night fantastic bargain lot slow elevator price,  ",4
"ok little money cost, wanted rooms night arriving miami airport following long journeys priceline gave rooms gbp, used taxi airport hotel shuttle, check-in staff friendly dim hotel adequate little paid rooms, eating places 5 minute walk adequate fine dining experience, needed car rental following morning pleased hertz location small mall near hotel, hotel guarded compound n't particularly dangerous area,  ",3
"fortune fortune house fortune house condo hotel, furniture dorm-room style couch metal frame stained removable cushions, amenities, services, wireless internet rooms lobby, hotel relatively safe room clean, bed cheap, tv bedroom living room, want stay,  ",1
"spacious room stayed 3 nights pleasantly surprised size room 2 queen beds 2 separate bathrooms maybe fact upgraded standard room checked, beds comfy lovely good quality linen mini fridge, location central walking distance major sites nearest t stop subway stn arlington, staff nice friendly overall stay nice,  ",4
"interesting renovation improve room service, nice re-make dowdy old building cosmetics n't change walls teeny bathroom oddly-shaped room lie perpendicular bed watch tv practically lean window full-size mirror, great bed nice amenities good sheets, excellent service desk speedy room service lost, ordered steak salad expected basic tray door, arrived instead record time plastic bag cardboard takeout boxes plastic cutlery, easy cut nearly raw piece meat inside paper box plastic cutlery, considering 42 paid meal pretty sady actually,  ",4
"perfect hotel downtown boston returned night stay fairmont copley, location hotel excellent- dining shopping sight seeing easy walking distance quick ride t. room clean spacious bathroom elegant, overall stay relaxing enjoyable.we lived boston years moved away months ago time, read various reviews time fairmont negative comments ideal location prompted best rate, reasonable rate hotel website prepay, arrival informed upgraded deluxe room departure valet car allow 15-20 min retrieve, addition checking slight delay people checking time plan according, bell captain 15-20 min safe leave need help luggage.if concerned outside noise recommend interior room, quiet- n't guess staying downtown boston, rooms face street t line quite bit traffic passses buy tends little loud, comment previous review-the oak bar fairmont popular reservations good idea, quite fancy proper dress suggested, jeansthe location great- cvs right street starbucks copley t stop subway block away.here favorite places need suggestions places boston.fanueil hall houston naked fishnorth end mike pastry modern pastry ricotta canoli- yum, brunch outdoor seating summer joes american cafe living roomcopley/downtown hub prudential building drinks- fabulous view boston dinner ok little overpriced atlantic fish company stephanie newbury whiskey park park plaza hotel finale dessert- try creme brulee molten chocolate cake park plaza hotel hope enjoy stay fairmont- definitely staying return boston,  ",4
"french quarter gem tim miss d staff place d'armes thank gracious southern hospitality recent short stay new orleans, little getaway needed, bless y'all happy mardi gras,  ",5
